state,county,stateansi,countyansi,fips1,fips2,County,pc1b_manufacturing,pc2b_infrastructure,pc1c_artsdiversity,pc2c_creativeindustries,pc1f,pc1h_healtheducation,pc2h_medicalfoodsecurity,pc1n_naturalamenitiesconservation,pc2n_farmland,pc1s_nonprofitsocialindustries,pc2s_publicvoiceparticipation
ALABAMA,AUTAUGA,1,1,01001,1001,"Autauga County, Alabama",0.4027483,19.46184,2.974049,29.67349,75.37039,49.4295,39.31477,38.91292,8.68254,9.449648,69.17033
ALABAMA,BALDWIN,1,3,01003,1003,"Baldwin County, Alabama",0.7114434,15.86325,6.038914,22.6891,75.66854,60.95762,36.92077,46.31431,11.11802,9.475908,66.83114
ALABAMA,BARBOUR,1,5,01005,1005,"Barbour County, Alabama",0.7980376,9.541811,6.500066,9.71141,76.25034,28.87894,20.51199,38.81004,8.857522,8.406649,57.56005
ALABAMA,BIBB,1,7,01007,1007,"Bibb County, Alabama",0.5740475,2.90372,4.746701,16.79829,76.0261,26.78702,31.02449,47.89145,9.296346,9.052527,52.83341
ALABAMA,BLOUNT,1,9,01009,1009,"Blount County, Alabama",0.5299386,12.2515,4.042196,23.74325,76.59074,46.2443,28.21041,42.08249,9.439362,8.469285,75.33586
ALABAMA,BULLOCK,1,11,01011,1011,"Bullock County, Alabama",1.110226,1.497405,,,77.86909,22.30458,15.87201,39.97275,9.213705,10.51374,33.78493
ALABAMA,BUTLER,1,13,01013,1013,"Butler County, Alabama",0.6008927,15.76894,5.289646,11.6755,77.74638,29.04138,23.20188,37.72044,11.16761,10.71064,54.34196
ALABAMA,CALHOUN,1,15,01015,1015,"Calhoun County, Alabama",0.6251109,19.73125,5.189225,14.74756,76.43536,34.9983,32.39277,45.44039,10.12132,10.26129,67.69825
ALABAMA,CHAMBERS,1,17,01017,1017,"Chambers County, Alabama",0.4867273,19.62625,3.522574,12.65286,76.53877,26.59621,24.18958,40.68841,9.185555,10.513,62.5374
ALABAMA,CHEROKEE,1,19,01019,1019,"Cherokee County, Alabama",0.414245,9.096002,5.190285,20.44833,78.48853,37.38257,30.05107,44.1047,9.596106,8.720903,48.99395
ALABAMA,CHILTON,1,21,01021,1021,"Chilton County, Alabama",0.8294815,10.15702,,,76.84779,35.79203,25.45837,45.09513,9.882959,10.06364,62.8166
ALABAMA,CHOCTAW,1,23,01023,1023,"Choctaw County, Alabama",0.3137127,3.928583,7.791708,12.77153,79.9341,25.91409,26.93743,44.54427,10.78625,14.54125,56.73631
ALABAMA,CLARKE,1,25,01025,1025,"Clarke County, Alabama",0.5921726,10.04756,5.109087,10.04914,77.61296,33.0525,20.00261,45.34796,10.53126,13.81215,56.45543
