fips,county,state,stdpercent
1001,Autauga County,Alabama,100.5937981
1003,Baldwin County,Alabama,100.9080485
1007,Bibb County,Alabama,100.3399258
1009,Blount County,Alabama,101.1579637
1011,Bullock County,Alabama,100.5563282
1013,Butler County,Alabama,90.24875622
1015,Calhoun County,Alabama,100.3861449
1017,Chambers County,Alabama,99.59731544
1019,Cherokee County,Alabama,99.46619217
1023,Choctaw County,Alabama,99.46153846
1025,Clarke County,Alabama,99.1708126
1027,Clay County,Alabama,98.875803
1029,Cleburne County,Alabama,100.1194268
1031,Coffee County,Alabama,100.5239905
1033,Colbert County,Alabama,100.1369863
1035,Conecuh County,Alabama,100
1037,Coosa County,Alabama,
1039,Covington County,Alabama,100.3243594
1043,Cullman County,Alabama,27.35022496
1045,Dale County,Alabama,84.13890192
1047,Dallas County,Alabama,51.63839947
1049,DeKalb County,Alabama,100.0248262
1053,Escambia County,Alabama,94.72703559
1055,Etowah County,Alabama,101.8282257
1059,Franklin County,Alabama,102.7569331
1061,Geneva County,Alabama,100.2500625
1063,Greene County,Alabama,
1067,Henry County,Alabama,100.0405515
1069,Houston County,Alabama,104.3028924
1071,Jackson County,Alabama,100.8302465
1073,Jefferson County,Alabama,72.79348757
1075,Lamar County,Alabama,100.3056769
1077,Lauderdale County,Alabama,99.91220369
1079,Lawrence County,Alabama,100.6220506
1081,Lee County,Alabama,96.44278711
1083,Limestone County,Alabama,77.16689377
1085,Lowndes County,Alabama,114.4578313
1087,Macon County,Alabama,102.2970085
1089,Madison County,Alabama,104.9682209
1091,Marengo County,Alabama,26.84709066
1093,Marion County,Alabama,106.1172669
1095,Marshall County,Alabama,86.12910308
1097,Mobile County,Alabama,93.49404009
1099,Monroe County,Alabama,100.2384501
1101,Montgomery County,Alabama,97.50268267
1103,Morgan County,Alabama,100.7344747
1105,Perry County,Alabama,102.1722265
1107,Pickens County,Alabama,99.96038035
1109,Pike County,Alabama,
1111,Randolph County,Alabama,100.3805382
1113,Russell County,Alabama,76.11672988
1117,Shelby County,Alabama,87.92745081
1119,Sumter County,Alabama,82.74605103
