sfa_name,sfa_id,fips,county,state_name,zip,fts,fts_int,ffvp,cvendor,cpurch,ckitch,totalstudents,totalschools,poverty_status,latitude,longitude
Red Clay Consolidated,9532000020,10003,New Castle County,Delaware,19804,1,9.926422723644077,1,2,1,1,18708,28,4,39.72,-75.62
Milford,9518000090,10005,Sussex County,Delaware,19960,1,5.006730158730159,1,1,1,1,4269,6,4,38.86,-75.36
Newark Charter School,0000028713,10003,New Castle County,Delaware,19711,0,0,0,1,1,1,2389,2,1,39.71,-75.74
Polytech,9539000030,10001,Kent County,Delaware,19980,1,10.584258124765219,0,2,1,2,1197,1,1,39.07,-75.56
Campus Community Charter School,9574000000,10001,Kent County,Delaware,19904,1,3,0,1,1,1,428,1,2,39.17,-75.59
Mot Charter School,9588000000,10003,New Castle County,Delaware,19709,1,6.572481884873307,0,2,2,2,1380,2,1,39.45,-75.71
Academia Antonia Alonso,960500000,10003,New Castle County,Delaware,19805,1,5,1,1,1,1,596,1,4,39.74,-75.59
Division Of Youth Rehabilitative Services,3705500000,10003,New Castle County,Delaware,19805,1,1.5833333333333333,0,2,2,1,2962,6,,39.74,-75.59
Positive Outcomes,9571000000,10001,Kent County,Delaware,19934,1,4.1,0,1,1,1,118,1,2,39.08,-75.62
Academy Of Dover,958500000,10001,Kent County,Delaware,19904,1,5.006412540078376,1,1,1,1,264,1,4,39.17,-75.59
Brandywine,9531000170,10003,New Castle County,Delaware,19803,1,4.717241375323098,1,,1,1,4936,17,2,39.8,-75.54
Sussex Academy Of Arts & Sciences,9577000000,10005,Sussex County,Delaware,19947,0,0,0,1,1,1,792,1,1,38.69,-75.38
Appoquinimink,9529000190,10003,New Castle County,Delaware,19730,1,1.5953109256552724,0,2,1,1,11454,16,1,39.45,-75.66
Capital,9513000020,10001,Kent County,Delaware,19904,1,8.360748319480244,1,2,1,1,7582,12,4,39.17,-75.59
Colonial,9534000030,10003,New Castle County,Delaware,19720,1,13.492456391431407,1,1,1,1,10031,15,4,39.66,-75.57
Woodbridge,9535000070,10005,Sussex County,Delaware,19933,1,4.2,1,2,2,2,2526,4,4,38.74,-75.6
Seaford,9523000070,10005,Sussex County,Delaware,19973,0,0,1,1,1,1,3508,7,4,38.64,-75.61
Odyssey Charter School,0000006329,10003,New Castle County,Delaware,19805,1,1.9444444444444444,1,1,1,1,1841,3,1,39.74,-75.59
Delmar,9537000020,10005,Sussex County,Delaware,19940,1,6.518420141293808,0,1,2,1,1414,2,2,38.46,-75.57
Terry Children's Psychiatric Center,3704400000,10003,New Castle County,Delaware,19720,1,2,1,1,1,2,16,1,1,39.66,-75.57
Early College High School At Dsu,9604000000,10001,Kent County,Delaware,19901,0,0,0,1,1,4,385,1,3,39.15,-75.51
Caesar Rodney,9510000040,10001,Kent County,Delaware,19934,1,7.1,1,2,2,1,8103,13,2,39.08,-75.62
New Castle County Votech,9538000100,10003,New Castle County,Delaware,19804,1,8.535592368718035,0,2,2,2,4694,4,2,39.72,-75.62
Community Education Building Ps #5 LLC,0000218582,10003,New Castle County,Delaware,19801,1,4.047464337863641,1,1,1,1,1092,2,4,39.73,-75.54
First State Military Academy,9607000100,10001,Kent County,Delaware,19938,1,6.555259134641951,0,1,1,1,435,1,1,39.29,-75.63
Kevin Curry,9587000000,10001,Kent County,Delaware,19938,1,3.120783605678052,0,1,1,1,690,1,2,39.29,-75.63
Harvest Christian Academy,0000034518,10003,New Castle County,Delaware,19805,1,1,1,1,1,1,76,1,4,39.74,-75.59
East Side Charter School,9572000000,10003,New Castle County,Delaware,19802,1,3.025,1,1,1,1,473,1,4,39.76,-75.53
Indian River,9536000020,10005,Sussex County,Delaware,19975,1,7.71,1,3,2,3,10850,15,3,38.47,-75.17
Las Americas Aspira Academy,9569000000,10003,New Castle County,Delaware,19711,1,12.750797156854416,0,2,2,1,785,1,3,39.71,-75.74
Department Of Correction,3804200000,10001,Kent County,Delaware,19904,0,0,0,2,1,1,294,8,,39.17,-75.59
Sussex Technical,9540000030,10005,Sussex County,Delaware,19947,1,5.214409518093093,0,1,1,1,1246,1,1,38.69,-75.38
Cape Henlopen,9517000020,10005,Sussex County,Delaware,19958,1,5.748622118007758,1,3,2,2,5546,9,2,38.76,-75.17
Tarbiyah School,0000327041,10003,New Castle County,Delaware,19702,1,12.619565217391305,0,1,1,1,200,1,4,39.62,-75.73
Laurel,9516000030,10005,Sussex County,Delaware,19956,1,7.211111890018305,1,1,1,1,2576,4,4,38.55,-75.57
Smyrna,9524000040,10001,Kent County,Delaware,19977,1,7.9372833458929914,1,1,1,1,5833,8,3,39.29,-75.6
Christina,9533000040,10003,New Castle County,Delaware,19701,1,9.894095852534562,1,1,1,1,14955,31,3,39.58,-75.68
The Children's Guild Pcs,188,11001,District of Columbia,District of Columbia,20018,0,0,1,2,1,1,375,1,4,38.93,-76.97
Sela Pcs,174,11001,District of Columbia,District of Columbia,20011,1,6,0,1,1,1,229,1,2,38.95,-77.02
Dc International Pcs,181,11001,District of Columbia,District of Columbia,20012,1,4.5,1,2,1,4,1060,1,3,38.98,-77.03
LAYC Career Academy,172,11001,District of Columbia,District of Columbia,20010,1,5.5,0,1,1,1,126,1,4,38.93,-77.03
Thurgood Marshall Pcs,146,11001,District of Columbia,District of Columbia,20020,1,3.7475385003786923,1,1,1,1,396,1,4,38.86,-76.98
Basis Dc,168,11001,District of Columbia,District of Columbia,20004,0,0,0,1,1,1,597,1,1,38.89,-77.03
Roots Pcs,140,11001,District of Columbia,District of Columbia,20011,1,12.837990085624156,1,1,1,1,109,2,4,38.95,-77.02
Bridges Pcs,107,11001,District of Columbia,District of Columbia,20011,0,0,1,2,1,1,412,1,2,38.95,-77.02
Harmony Dc,180,11001,District of Columbia,District of Columbia,20002,0,0,0,1,1,1,114,1,4,38.91,-76.98
Washington Yu Ying,160,11001,District of Columbia,District of Columbia,20017,1,10.25062821941841,0,1,1,1,569,1,1,38.94,-76.99
Digital Pioneers Pcs,317,11001,District of Columbia,District of Columbia,20020,1,3,0,1,1,,120,1,4,38.86,-76.98
Perry Street Prep Pcs,125,11001,District of Columbia,District of Columbia,20018,1,8.531825938566552,1,2,2,2,374,1,4,38.93,-76.97
Briya Pcs,119,11001,District of Columbia,District of Columbia,20009,0,0,0,1,1,1,51,3,4,38.92,-77.04
Dcps,1,11001,District of Columbia,District of Columbia,20002,0,0,1,1,1,,49328,115,3,38.91,-76.98
